MLS#,Address,City,Status,Status Timestamp,Prop Type,Acres,SQFT Total,SQFTAbvGr,Rooms,Beds,Baths,Garage/Park,Built,DOM,Association Amenities,Assessed Value,Driveway Type,Price,Property Tax,Zoning,Handicap Features,Energy Features,HOA Fee Amount,HOA YN,HOA Fee Frequency,Bank Owned or Controlled Property YN,High School,Elementary School,Nearby Amenities,Swimming Pool YN,Direct Waterfront YN,Waterfront Description,Price Change Timestamp,Cooling,Heat Type,Heat Fuel Type,Intermediate School,Exterior Features,Middle Jr High School,Pool Description,Estimated Annual Heat Co,Photo
170626736,"30  Oak Ridge Dr. , Unit# 14",New Haven,NEW,02/26/2024,CO,,725,725,4,2,1/0,"0 Car Garage, 0 Total Spaces, None",1954,1,,44240,,125000,1646,RS2,,,,No,,No,Per Board of Ed,Per Board of Ed,"Shopping/Mall, Walk to Bus Lines",No,No,,02/26/2024,None,Baseboard,Natural Gas,,,,,,
170613802,91  Prospect St.,Thomaston,ACTV,12/07/2023,,0.25,2818,2818,8,2,1/1,"2 Car Garage, 4 Total Spaces, Attached Garage, Driveway",1920,82,,105980,"Private, Paved",164900,3564,RA80,,,,No,,No,Thomaston,Black Rock,"Lake, Library, Medical Facilities, Shopping/Mall",No,No,,12/07/2023,None,Hot Air,Oil,,"Lighting, Stone Wall",,,,
170624876,16  Laurie Dr.,Enfield,NEW,02/21/2024,,0.3,896,896,5,3,1/0,"0 Car Garage, 4 Total Spaces, Paved",1969,6,,144100,Paved,249900,4793,R33,,Thermopane Windows,,No,,No,Enfield,Per Board of Ed,,No,No,Not Applicable,,Window Unit,Hot Water,Oil,Per Board of Ed,"Deck, Gutters, Porch, Porch-Enclosed",J. F. Kennedy,,,
170613302,1  Wells Woods Rd.,Columbia,ACTV,12/03/2023,,0.95,1883,1883,3,3,2/0,"2 Car Garage, 6 Total Spaces, Under House Garage",2024,88,,46480,,499900,1204,RA,,"Extra Insulation, Heat Recovery Unit, Humidistat, Ridge Vents, Thermopane Windows",,No,,No,Per Board of Ed,Horace W. Porter,"Lake, Public Rec Facilities, Shopping/Mall",No,No,Not Applicable,12/03/2023,Central Air,Hot Air,Propane,,"Gutters, Underground Utilities",,,,
170621516,"34  Crescent St. , Unit# 2H",Stamford,ACTV,02/28/2024,CO,,1006,1006,4,1,1/1,"0 Car Garage, 1 Total Spaces, None, Assigned Parking",1980,6,Guest Parking,175600,,299000,4365,R5,,,280,Yes,Monthly,No,Stamford,Julia A. Stark,"Health Club, Library, Medical Facilities, Park, Playground/Tot Lot, Public Transportation, Shopping/Mall, Walk to Bus Lines",No,No,,,Wall Unit,"Baseboard, Zoned",Electric,,,Dolan,,,
170614494,124  Curtis Dr.,New Haven,ACTV,02/28/2024,,0.2,2414,2414,8,4,2/1,"2 Car Garage, Detached Garage",1950,78,,219870,,469900,8179,RS2,,Thermopane Windows,,No,,No,Per Board of Ed,Per Board of Ed,,No,No,Not Applicable,01/04/2024,"Wall Unit, None",Baseboard,Oil,,,,,,
170626556,24  Cornfield Rd.,Windsor,NEW,02/24/2024,,0.48,2710,2710,10,5,2/1,"2 Car Garage, 6 Total Spaces, Attached Garage, Driveway, Paved",1965,3,None,203630,"Private, Paved, Asphalt",454900,6842,AA,,"Fireplace Insert, Generator, Ridge Vents",,No,,No,Windsor,Per Board of Ed,,No,No,Not Applicable,,Central Air,Hot Air,Gas In Street,,"Deck, Grill, Gutters, Patio, Porch-Enclosed, Porch-Screened, Shed",,,,
170611884,1950  Main St.,Stratford,ACTV,11/24/2023,,0.2,2708,2708,11,2,1/2,"0 Car Garage, Paved, Off Street Parking",1942,95,,271670,Paved,550000,10921,E-14,Ramps,,,No,,No,Stratford,Per Board of Ed,"Golf Course, Library, Medical Facilities, Public Rec Facilities, Public Transportation, Putting Green, Shopping/Mall, Tennis Courts",No,No,"Water Community, Beach Rights",,Central Air,Hot Water,Natural Gas,,"Gutters, Sidewalk",Wooster,,,
170623897,"616  Hope St. , Unit# A",Stamford,ACTV,02/12/2024,CO,,1985,1985,7,3,2/1,"0 Car Garage, 2 Total Spaces, Paved, Off Street Parking, Assigned Parking",2002,15,,268090,,597000,6665,RM1,,,175,Yes,Monthly,No,Stamford,Springdale,"Golf Course, Health Club, Library, Medical Facilities, Park, Public Transportation, Shopping/Mall, Walk to Bus Lines",No,No,Beach Rights,,Central Air,Hot Air,Natural Gas,,"Garden Area, Gutters, Lighting",Dolan,,,
170611055,273  Newtown Tpke.,Redding,ACTV,11/22/2023,,6.21,6561,5568,11,4,4/3,"3 Car Garage, Attached Garage, Driveway, Unpaved",1930,97,,1159100,Private,2500000,32095,R-2,,,,No,,No,Joel Barlow,Redding,"Basketball Court, Golf Course, Lake, Library, Paddle Tennis, Park, Playground/Tot Lot, Tennis Courts",No,No,"Brook, Pond",02/15/2024,Window Unit,Hot Air,Oil,,"Garden Area, Hot Tub, Patio, Porch-Enclosed, Stone Wall, Tennis Court",,,,
170623706,42  Fox Hunt Way.,Harwinton,ACTV,02/09/2024,,4.61,2900,2900,7,4,2/1,"3 Car Garage, Attached Garage",2024,18,,70900,"Private, Paved",939850,2070,CR2,,Energy Star Rated,0,No,,No,Per Board of Ed,Per Board of Ed,"Golf Course, Park, Private School(s)",No,No,Not Applicable,,Central Air,Hot Air,Oil,,Porch,,,,
170612929,108  Hamilton St.,Meriden,ACTV,02/12/2024,,0.28,1666,1354,6,3,1/0,"1 Car Garage, Under House Garage",1956,89,,144900,Paved,319900,5379,R-1,,"Storm Doors, Thermopane Windows",,No,,No,Orville H. Platt,Per Board of Ed,"Basketball Court, Medical Facilities, Park, Shopping/Mall, Tennis Courts",No,No,Not Applicable,,"Ceiling Fans, Whole House Fan, Window Unit",Baseboard,Oil,Per Board of Ed,Deck,Lincoln,,,
170621434,"18  Prospect Ave. , Unit# E2",Norwalk,ACTV,01/28/2024,CO,,429,429,3,1,1/0,"0 Car Garage, 1 Total Spaces, Assigned Parking",1967,30,,79900,,192500,1989,D,,,266,Yes,Monthly,No,Per Board of Ed,Per Board of Ed,,No,No,Not Applicable,,Ceiling Fans,Wall Unit,Electric,,Patio,,,,
170609112,14  Palestine Rd.,Newtown,ACTV,02/07/2024,,21.5,4078,3842,10,4,3/0,"2 Car Garage, Attached Garage",1987,110,None,532630,"Private, Paved",1499000,13976,R-2,,Generator Ready,,No,,No,Newtown,Head O'Meadow,"Basketball Court, Golf Course, Library, Park, Playground/Tot Lot, Stables/Riding, Tennis Courts",Yes,No,Not Applicable,,Central Air,"Hot Air, Zoned",Oil,Reed,"Barn, Deck, Lighting, Paddock, Shed, Stone Wall",Newtown,"In Ground Pool, Heated, Salt Water",,
170616453,47  Deerfield Ave.,Middletown,ACTV,01/15/2024,,0.11,1734,1734,9,4,1/1,"0 Car Garage, Off Street Parking",1939,43,,202250,Shared,374900,6798,RPZ,,,,No,,No,Per Board of Ed,Per Board of Ed,,No,No,Not Applicable,,None,Hot Air,Oil,Per Board of Ed,Patio,,,,
170608010,25  Hillcrest Rd.,New Canaan,ACTV,11/01/2023,,1,7000,6700,16,6,7/1,"3 Car Garage, Attached Garage, Under House Garage, Tandem",2022,118,,996170,"Private, Asphalt",3995000,18867,1AC,,"Generator Ready, Programmable Thermostat",,No,,No,New Canaan,West,"Library, Private School(s), Public Transportation, Tennis Courts",No,No,Not Applicable,12/14/2023,"Central Air, Zoned","Hot Air, Zoned",Propane,,Porch,Saxe Middle,,,
170625721,"125  Warner Hill Rd. , Unit# 59",Stratford,NEW,02/22/2024,CO,,748,748,4,1,1/0,"0 Car Garage, 1 Total Spaces, Paved, Off Street Parking",1980,5,None,88620,,219900,3563,H-3,,,319,Yes,Monthly,No,Per Board of Ed,Per Board of Ed,"Golf Course, Health Club, Library, Medical Facilities, Public Rec Facilities, Public Transportation, Shopping/Mall",Yes,No,Water Community,02/22/2024,Wall Unit,Baseboard,Natural Gas,,"Deck, Lighting",Per Board of Ed,In Ground Pool,,
170609821,54  Bud Ln.,Stamford,ACTV,12/02/2023,,1.53,8151,5402,11,5,5/1,"3 Car Garage, Attached Garage",2001,87,,1210090,"Private, Asphalt",1870000,29599,RA1,,,,No,,No,Westhill,Northeast,"Basketball Court, Golf Course, Health Club, Library, Playground/Tot Lot, Shopping/Mall, Tennis Courts",No,No,Not Applicable,02/16/2024,Central Air,Hot Air,Oil,,"French Doors, Grill, Lighting, Patio",Turn of River,,,
170625219,14  Adams Ln.,New Canaan,NEW,02/26/2024,,2.44,8771,7000,15,5,5/4,"3 Car Garage, Attached Garage, Detached Garage",2007,1,,2162160,,5195000,40951,2AC,,"Active Solar, Extra Insulation, Generator, Geothermal Heat, Storm Doors",,No,,No,New Canaan,West,"Library, Paddle Tennis, Park, Playground/Tot Lot, Private School(s), Public Pool, Public Transportation, Tennis Courts",Yes,No,,,Central Air,"Hot Air, Radiant, Solar, Zoned","Geothermal, Solar",,"Porch-Enclosed, Terrace, Cabana, Garden Area, Lighting, Stone Wall, French Doors, Underground Sprinkler",Saxe Middle,"Gunite, Heated, Pool House, Spa, In Ground Pool",,
170612426,11  Lyman Dr.,Torrington,ACTV,11/28/2023,,0.29,950,950,5,3,1/1,"1 Car Garage, Attached Garage",1955,91,,86410,"Private, Asphalt",275900,4144,R10S,,"Storm Doors, Thermopane Windows",,No,,No,Per Board of Ed,Per Board of Ed,"Golf Course, Medical Facilities, Park, Public Transportation, Shopping/Mall",No,No,Not Applicable,12/13/2023,None,Baseboard,Natural Gas,,"Gutters, Porch",,,,
170625968,"5  Nadia Ln. , Unit# B",Wallingford,NEW - OUR,02/28/2024,CO,,1216,1216,4,2,1/1,"1 Car Garage, Under House Garage, Off Street Parking",2005,5,,115000,,200000,3374,HOD/MF,,Thermopane Windows,300,Yes,Monthly,No,Mark T. Sheehan,Cook Hill,Golf Course,No,No,Not Applicable,,"Ceiling Fans, Central Air",Hot Air,Natural Gas,,Deck,James Moran,,,
170613930,18  Coach Dr.,North Branford,ACTV,01/31/2024,,0.99,2408,2408,7,3,2/0,"2 Car Garage, Attached Garage, Under House Garage",1967,82,,275700,"Private, Paved",337250,9517,Res,,,,No,,Yes,North Branford,Jerome Harrison,"Park, Public Transportation",Yes,No,Not Applicable,01/19/2024,Central Air,"Baseboard, Hot Water",Oil,Per Board of Ed,"Balcony, Covered Deck, Deck, Patio, Porch-Enclosed",North Branford,"In Ground Pool, Slide",,
170621095,23  Segar St.,Danbury,ACTV,02/02/2024,,0.38,6276,3588,12,4,4/0,"0 Car Garage, 10 Total Spaces, Off Street Parking",1992,25,,524370,"Private, Paved, Crushed Stone",750000,12234,RA8,,,,No,,No,Danbury,Mill Ridge,"Basketball Court, Golf Course, Lake, Library, Park, Public Rec Facilities, Public Transportation, Shopping/Mall",No,No,Not Applicable,,Central Air,Hydro Air,Natural Gas,,"Balcony, Deck",Per Board of Ed,,,
170616183,58  Bellevue Pl.,New London,ACTV,02/14/2024,,0.19,2926,2926,8,4,2/0,"1 Car Garage, 2 Total Spaces, Detached Garage",1903,60,,149380,Private,509900,5563,R-1A,,Thermopane Windows,,No,,No,Per Board of Ed,Per Board of Ed,"Basketball Court, Health Club, Medical Facilities, Park, Public Transportation, Shopping/Mall, Walk to Bus Lines",No,No,Walk to Water,01/29/2024,None,"Hot Water, Radiator",Gas In Street,,Porch-Wrap Around,,,,
170621724,"22  Lombard Cir. , Unit# 8",North Haven,ACTV,01/31/2024,CO,,2370,2370,7,4,2/1,"2 Car Garage, Attached Garage",2024,27,,0,,625000,0,Special Residential,Raised Toilet,"Home Energy Rating, Extra Insulation, Programmable Thermostat, Thermopane Windows",343,Yes,Monthly,No,North Haven,Montowese,,No,No,Not Applicable,,Central Air,Heat Pump,Electric,North Haven,"Gutters, Patio, Underground Sprinkler, Underground Utilities",PBOE,,,
170616147,20  Cooper Ave.,Milford,ACTV,12/27/2023,,0.08,2500,2500,7,4,3/1,"2 Car Garage, Under House Garage",2023,63,,99,Private,995900,99,res,,,,No,,No,Jonathan Law,Per Board of Ed,"Basketball Court, Health Club, Medical Facilities, Park, Public Rec Facilities, Public Transportation, Shopping/Mall",No,No,"Access, Water Community, Beach, Walk to Water",,Central Air,Hot Air,Natural Gas,,"Balcony, Deck",West Shore,,,
170625924,5  Nolan Dr.,Bloomfield,NEW,02/23/2024,,0.34,1290,1290,8,3,1/1,"2 Car Garage, Attached Garage, Under House Garage, Off Street Parking",1965,4,,134330,"Paved, Asphalt",307000,5176,R-15,,,,No,,No,Bloomfield,Laurel,"Library, Walk to Bus Lines",No,No,Not Applicable,,"Ceiling Fans, None",Baseboard,Natural Gas,,"Deck, Gutters, Sidewalk",Carmen Arace,,,
170615057,19  Hillcrest Rd.,Trumbull,ACTV,12/21/2023,,0.48,1195,1195,6,3,1/0,"1 Car Garage, Attached Garage",1953,68,,233940,,499900,8265,AA,,,,No,,No,Per Board of Ed,Per Board of Ed,"Health Club, Library, Medical Facilities, Park, Public Rec Facilities, Shopping/Mall",No,No,Beach Rights,,Central Air,Hot Air,Propane,,,,,,
170624160,"64  Emily Way. , Unit# 64",West Hartford,NEW,02/14/2024,CO,,3030,2020,8,2,3/1,"2 Car Garage, Attached Garage",2004,13,,317660,,630000,12999,"R-10,S",,Generator,555,Yes,Monthly,No,Per Board of Ed,Per Board of Ed,,No,No,Not Applicable,,Central Air,Hot Water,Natural Gas,,"Awnings, Deck",,,,
170592324,145 S. Main St.,Suffield,ACTV,12/01/2023,,1.42,3901,3901,11,6,3/0,"8 Car Garage, Barn, Driveway",1860,88,,427770,"Private, Gravel",745000,12238,R25,,,,No,,No,Suffield,A. Ward Spaulding,"Golf Course, Health Club, Library, Medical Facilities, Private School(s), Shopping/Mall",No,No,Not Applicable,12/01/2023,"Ductless, Split System",Hot Water,Oil,McAlister,"Balcony, Gutters, Patio, Porch",Suffield,,,
170625190,45  Leffert Rd.,Trumbull,ACTV,02/27/2024,,0.42,2184,1650,9,5,2/0,"1 Car Garage, Detached Garage",1951,1,,238420,,539900,8428,AA,,,,No,,No,Per Board of Ed,Per Board of Ed,,No,No,,02/27/2024,None,Hot Air,Oil,,Porch-Enclosed,,,,
170613163,25  Woodland Hts.,Middlefield,ACTV,12/08/2023,,0.82,2636,2636,9,4,2/0,"10 Car Garage, Detached Garage, Under House Garage",1960,81,,268400,,650000,7580,MD,,,,No,,No,Coginchaug Regional,Per Board of Ed,,No,No,Not Applicable,,"Central Air, Split System",Hot Air,Oil,Memorial,,Ward Strong,,,
170620238,"11  Cedar Ct. , Unit# E",East Haven,NEW,02/18/2024,CO,,783,783,3,1,1/0,"0 Car Garage, Paved, Off Street Parking",1972,9,"Club House, Guest Parking, Pool",51100,,125000,1594,RA-1,,,276,Yes,Monthly,No,East Haven,Deer Run,"Commuter Bus, Health Club, Medical Facilities, Park, Public Rec Facilities, Shopping/Mall",Yes,No,Not Applicable,,Central Air,Hot Air,Natural Gas,,"Deck, Gutters",,In Ground Pool,,
170612416,4  Viewpoint Ln.,Ellington,ACTV,02/28/2024,,11.81,10768,6709,9,4,5/3,"3 Car Garage, Attached Garage",2007,80,,1081310,,2800000,37089,RAR,,,,No,,No,Ellington,Per Board of Ed,"Lake, Library",Yes,Yes,"Direct Waterfront, Lake, Access, View",02/28/2024,Central Air,Hot Air,Oil,,"Balcony, French Doors, Fruit Trees, Garden Area, Grill, Lighting, Patio, Underground Sprinkler",,"Indoor Pool, In Ground Pool, Spa, Heated, Salt Water",,
170619385,46  Banbury Ln.,West Hartford,NEW,02/27/2024,,1.2,3505,2905,8,4,3/1,"2 Car Garage, Attached Garage",1951,1,,345380,,765000,14133,R-13,,,,No,,No,Hall,Bugbee,,No,Yes,Brook,,Central Air,Hot Air,Natural Gas,,"Shed, Patio",,,,
170612665,98  Georgetown Road,Weston,ACTV,12/01/2023,,4,6736,4279,9,5,4/1,"3 Car Garage, Attached Garage, Other",2024,88,None,0,Gravel,1899000,0,R,,"Active Solar, Generator, Humidistat, Programmable Thermostat, Thermopane Windows",,No,,No,Weston,Hurlbutt,"Library, Medical Facilities, Park, Public Rec Facilities",No,No,Not Applicable,,"Central Air, Zoned","Hot Air, Solar, Zoned","Natural Gas, Solar",Weston,"French Doors, Gutters, Lighting, Patio, Stone Wall, Underground Utilities",Weston,,,
170626483,"75  Washington Ave. , Unit# 6-302",Hamden,NEW,02/23/2024,CO,,858,858,3,1,1/0,"0 Car Garage, Parking Lot, Unassigned Parking",1996,4,"Elevator, Exercise Room/Health Club, Gardening Area, Guest Parking",66080,,174900,3726,T4,,Storm Windows,301,Yes,Monthly,No,Hamden,Per Board of Ed,"Commuter Bus, Library, Medical Facilities, Park, Public Transportation, Shopping/Mall, Walk to Bus Lines",No,No,Not Applicable,02/23/2024,Central Air,Gravity Warm Air,Natural Gas,,"Balcony, Garden Area, Gazebo, Gutters, Lighting, Porch-Screened, Sidewalk",,,,
170614986,85  Rock Ridge Rd.,Manchester,ACTV,12/15/2023,,0.52,2362,2362,9,4,2/1,"3 Car Garage, Attached Garage",2023,74,,51700,,625930,1923,res,,,,No,,No,Per Board of Ed,Per Board of Ed,,No,No,Not Applicable,,Central Air,"Baseboard, Hot Air",Bottle Gas,,,,,,
170626076,218  Tashua Rd.,Trumbull,NEW,02/27/2024,,0.7,2492,2492,9,4,3/0,None,1956,1,,290150,,635000,10195,AAA,,,,No,,No,Trumbull,Per Board of Ed,"Golf Course, Health Club, Lake, Library, Medical Facilities, Park, Public Rec Facilities, Public Transportation",No,No,,,Central Air,Hot Air,Natural Gas,Per Board of Ed,"Porch-Enclosed, Porch, Covered Deck",Per Board of Ed,,,
170614883,201  Middle River Rd.,Danbury,ACTV,12/14/2023,,0.5,1142,1142,5,2,1/1,"1 Car Garage, Attached Garage",1949,75,,211400,,315000,4932,RA40,,,,No,,Yes,Danbury,King Street,,No,No,Not Applicable,01/26/2024,Central Air,Hot Air,Oil,,,,,,
170624734,"31  High St. , Unit# 3103",East Hartford,NEW,02/23/2024,CO,,850,850,4,2,1/0,"2 Car Garage, Parking Lot, Unassigned Parking",1989,4,"Club House, Exercise Room/Health Club, Guest Parking, Health Club, Playground/Tot Lot, Private Rec Facilities, Pool, Tennis Courts",78600,,179000,3344,R-5,,,366,Yes,Monthly,No,East Hartford,Per Board of Ed,"Public Transportation, Walk to Bus Lines",Yes,No,Not Applicable,,Central Air,Hot Air,Electric,,"Lighting, Sidewalk",,Indoor Pool,,
170615246,21  Ellington Ave.,Vernon,ACTV,12/19/2023,,0.7,6890,6890,15,6,3/1,"4 Car Garage, 6 Total Spaces, Detached Garage, Driveway, Paved",1908,70,,213150,"Private, Paved",999900,7117,NR-10,,Programmable Thermostat,,No,,No,Per Board of Ed,Per Board of Ed,"Library, Medical Facilities, Park, Shopping/Mall",Yes,No,Not Applicable,,Central Air,Hot Air,Natural Gas,,"Balcony, Fruit Trees, Garden Area, Gutters, Lighting, Patio, Porch, Sidewalk, Stone Wall",,"In Ground Pool, Heated",,
170624196,1  Rocky Point Rd.,Norwalk,NEW,02/15/2024,,0.1,4585,4585,9,3,3/1,"0 Car Garage, 2 Total Spaces, Driveway, Off Street Parking, On Street Parking",2002,12,"Park, Playground/Tot Lot",2553420,"Private, Gravel",4395000,61091,B,,"Active Solar, Extra Insulation, Fireplace Insert, Programmable Thermostat, Thermopane Windows",900,Yes,Annually,No,Brien McMahon,Rowayton,"Golf Course, Health Club, Library, Medical Facilities, Park, Stables/Riding, Tennis Courts",No,Yes,"Direct Waterfront, Frontage, L. I. Sound Frontage, Beach",,"Central Air, Zoned","Hot Air, Radiant, Solar, Zoned","Propane, Solar",,"Deck, Garden Area, Grill, Gutters, Lighting, Patio, Stone Wall, Underground Sprinkler",Roton,,,
170614739,9  Ashley Ct.,Danbury,ACTV,12/13/2023,,0.19,3363,2406,9,4,2/1,"2 Car Garage, Attached Garage, Covered Garage, Paved",2001,76,Guest Parking,388150,Asphalt,695000,9056,RA-8,"32' Minimum Door Widths, Hallways 36+ Inches Wide",,65,Yes,Quarterly,No,Danbury,Mill Ridge,"Basketball Court, Commuter Bus, Lake, Park, Playground/Tot Lot, Private School(s), Public Pool, Public Rec Facilities",No,No,Not Applicable,,Central Air,Gas on Gas,Natural Gas,,"Deck, Gutters, Porch, Sidewalk, Underground Utilities",,,,
170624752,"90  Bouton St. , Unit# 2A",Norwalk,NEW,02/15/2024,CO,,1244,1244,5,3,1/1,"2 Car Garage, Attached Garage",1986,12,,171770,,350000,4288,I1,,,275,No,Monthly,No,Brien McMahon,Cranbury,,No,No,Not Applicable,,Central Air,Heat Pump,Electric,,Balcony,Roton,,,
170614940,15A  Newtown Tpke.,Weston,ACTV,12/14/2023,,2.06,5508,5508,10,6,5/1,"3 Car Garage, Attached Garage",2024,75,,154610,,2352890,5111,R,,,,No,,No,Weston,Hurlbutt,"Playground/Tot Lot, Public Rec Facilities, Shopping/Mall",No,No,Beach Rights,,Central Air,"Hot Water, Zoned",Propane,Weston,,Weston,,,
170624653,28  Pershing Ave.,Seymour,NEW,02/14/2024,,0.45,1700,1700,6,3,1/1,"0 Car Garage, 7 Total Spaces, Paved",1940,13,,154560,"Shared, Paved",495000,5561,R-18,,,,No,,No,Per Board of Ed,Per Board of Ed,,No,No,Not Applicable,,Central Air,"Hot Air, Hydro Air",Propane,,,,,,
170614964,315  Tunxis Ave.,Bloomfield,ACTV,12/14/2023,,1.8,2756,2756,10,4,1/0,"0 Car Garage, Driveway",1755,75,,147320,,329000,5676,R-20,,,,No,,No,Bloomfield,Per Board of Ed,,No,No,Not Applicable,01/23/2024,Window Unit,"Hot Air, Gravity Warm Air",Oil,,"Barn, Covered Deck, Porch",,,,
170622430,"155  Short Beach Rd. , Unit# 213",Stratford,ACTV,02/02/2024,CO,,624,624,3,1,1/0,"0 Car Garage, Off Street Parking, Parking Lot",1984,25,,71470,,229000,2873,F-18,,,380,Yes,Monthly,No,Per Board of Ed,Per Board of Ed,"Basketball Court, Golf Course, Tennis Courts",No,No,"Beach, Beach Rights",,Wall Unit,Baseboard,Electric,,Balcony,,,,
170600535,386  June Rd.,Stamford,ACTV,02/15/2024,,4.1,3228,3228,8,4,4/0,"2 Car Garage, Attached Garage",1957,56,,940630,,1799000,23008,RA3,,Generator,,No,,No,Westhill,Roxbury,,No,Yes,"Frontage, Pond",,Central Air,"Hot Water, Zoned",Propane,,"French Doors, Gutters, Lighting, Patio",Cloonan,,,
170618767,1345  Corbin Ave.,New Britain,ACTV,01/17/2024,,0.16,1776,1560,7,4,1/1,"0 Car Garage, Off Street Parking",1921,41,None,109620,"Private, Asphalt",199000,4196,S2,,,,No,,No,New Britain,Lincoln,"Lake, Park, Shopping/Mall, Walk to Bus Lines",No,No,Not Applicable,02/06/2024,Window Unit,Radiator,Natural Gas,,Porch-Enclosed,Per Board of Ed,,,
170613708,58  Post Rd.,Fairfield,ACTV,12/06/2023,,0.1,1597,1597,5,3,1/1,"0 Car Garage, 0 Total Spaces, Paved",1918,111,,309050,,720000,8502,DCD,,,,No,,No,Fairfield Ludlowe,Per Board of Ed,,No,No,Not Applicable,,Central Air,Hot Air,Natural Gas,,Sidewalk,,,,
170623741,202  Timber Ln.,Canton,NEW,02/18/2024,CO,,1200,1200,5,2,2/1,"0 Car Garage, 1 Total Spaces, Off Street Parking",1972,9,,107540,,230000,3804,SB,,,394,Yes,Monthly,No,Canton,Cherry Brook Primary,"Basketball Court, Commuter Bus, Library, Park, Playground/Tot Lot, Public Pool, Public Rec Facilities, Public Transportation",Yes,No,Not Applicable,,Central Air,Hot Air,Natural Gas,,,,"In Ground Pool, Safety Fence, Concrete",,
170612741,28  Deming Ln.,Stamford,ACTV,01/02/2024,,1.13,3668,2100,8,4,3/0,"2 Car Garage, Attached Garage",1975,69,,514280,"Paved, Asphalt",925000,12579,RA1,,,,No,,No,Stamford,Davenport Ridge,"Golf Course, Health Club, Medical Facilities, Playground/Tot Lot, Public Transportation, Shopping/Mall, Tennis Courts",No,No,Not Applicable,02/09/2024,Central Air,Hot Water,Oil,,"Deck, Hot Tub",Rippowam,"Spa, Salt Water",,
170620322,Lot 66  Scotch Pine Dr.,Shelton,ACTV,01/22/2024,,0.46,3060,3060,7,4,2/1,"2 Car Garage, Attached Garage",2024,36,,999999,Paved,979900,9999,R-1,,,,No,,No,Shelton,Per Board of Ed,"Golf Course, Health Club, Park, Public Pool, Public Rec Facilities, Shopping/Mall",No,No,Not Applicable,,Central Air,Hot Air,Propane,,Patio,,,,
170613785,350 N. Maple St.,Enfield,ACTV,12/13/2023,,1.98,1637,1637,6,4,2/0,"4 Car Garage, Detached Garage, Barn, Tandem",1950,76,,168600,,315000,5793,R33,,,,No,,No,Enfield,Per Board of Ed,,No,No,Not Applicable,02/19/2024,None,Hot Air,Natural Gas,Per Board of Ed,"Barn, Patio, Porch-Enclosed",J. F. Kennedy,,,
170625585,"75  Wheeler Ave. , Unit# 307",Bridgeport,NEW,02/28/2024,CO,,1346,1346,4,2,1/0,"0 Car Garage, 1 Total Spaces, None, Off Street Parking, Assigned Parking",1987,0,,68560,,185000,2979,RESBB,,,185,Yes,Monthly,No,Central,Read,"Basketball Court, Medical Facilities, Park, Shopping/Mall",No,No,,,Central Air,Gas on Gas,,,,,,,
170614813,10  Fox Den Rd.,Danbury,ACTV,02/08/2024,,0.84,3965,3965,10,4,3/1,"2 Car Garage, Attached Garage",1957,73,,506030,"Private, Paved",729000,11806,RA40,,Generator,,No,,No,Per Board of Ed,King Street,"Golf Course, Health Club, Lake, Library, Medical Facilities, Park, Shopping/Mall, Stables/Riding",No,No,Not Applicable,01/22/2024,Window Unit,Baseboard,Oil,,"Gazebo, Patio",,,,
170620736,998  Fairfield Beach Rd.,Fairfield,ACTV,01/25/2024,,0.34,2693,2693,8,4,3/2,"2 Car Garage, Attached Garage, Under House Garage",2005,33,None,1045100,,1699000,28751,A,,Thermopane Windows,,No,,No,Fairfield Ludlowe,Roger Sherman,"Golf Course, Health Club, Park, Private School(s), Public Rec Facilities, Shopping/Mall",No,No,"Beach Rights, View, Walk to Water",02/22/2024,"Ceiling Fans, Central Air",Hot Air,Natural Gas,,"Balcony, Deck, French Doors, Lighting, Patio",Roger Ludlowe,,,
170606704,42  Sampson Ave.,Milford,ACTV,11/03/2023,,0.28,1209,1209,5,3,1/0,"0 Car Garage, 2 Total Spaces, Off Street Parking",1948,116,None,211870,Paved,409900,5757,R7.5,,,,No,,No,Per Board of Ed,Per Board of Ed,,No,No,Water Community,01/11/2024,None,Hot Air,Oil,Per Board of Ed,,Per Board of Ed,,,
170626703,"85  Viscount Dr. , Unit# B65",Milford,NEW,02/28/2024,CO,,990,990,4,2,1/0,"1 Car Garage, 1 Total Spaces, Carport, Parking Lot, Unassigned Parking",1975,0,Pool,161050,,325000,4376,WDD,Bath Grab Bars,,622,Yes,Monthly,No,Per Board of Ed,Per Board of Ed,"Commuter Bus, Health Club, Library, Medical Facilities, Public Rec Facilities, Public Transportation, Shopping/Mall, Walk to Bus Lines",Yes,No,,,"Ceiling Fans, Central Air",Hot Air,"Electric, Natural Gas",Per Board of Ed,"Deck, Lighting",Per Board of Ed,"Pool House, In Ground Pool",,
